JWMNP,HINCP,AGEP,HUPAOC,NATIVITY,SEX,SCHL,PUMA,ST,
0,50000,44,4,2,2,15,03810,36,
25,50000,44,4,1,2,18,03810,36,
0,105000,33,4,1,2,23,03810,36,
25,180000,55,4,2,1,22,03810,36,
30,40400,70,4,1,2,22,03810,36,
0,634000,42,4,2,1,21,03810,36,
15,115000,43,4,2,2,21,03810,36,
15,115000,32,4,2,1,19,03810,36,
0,200000,35,4,1,2,23,03810,36,
0,300000,25,4,1,1,21,03810,36,
0,220100,31,4,1,1,22,03810,36,
0,220100,31,4,1,2,21,03810,36,
0,45000,23,4,1,2,21,03810,36,
0,189000,26,4,1,2,21,03810,36,
0,189000,28,4,1,1,21,03810,36,
40,300000,69,4,1,1,22,03810,36,
0,300000,67,4,1,2,22,03810,36,
2,190000,60,4,1,1,22,03810,36,
0,190000,57,4,1,2,17,03810,36,
30,38600,54,4,2,2,20,03810,36,
0,38600,29,4,1,1,21,03810,36,
0,103000,29,4,2,2,21,03810,36,
10,103000,40,4,2,1,24,03810,36,
0,10000,71,4,2,1,11,03810,36,
30,160000,41,3,1,1,21,03810,36,
0,160000,40,3,1,2,21,03810,36,
0,160000,8,3,1,2,6,03810,36,
0,160000,7,3,1,1,4,03810,36,
0,160000,2,3,1,2,0,03810,36,
2,70400,63,4,2,2,24,03810,36,
20,70400,78,4,1,1,23,03810,36,
0,70400,18,4,1,2,15,03810,36,
55,122700,58,4,1,2,22,03810,36,
40,122700,56,4,1,1,15,03810,36,
20,450000,37,1,1,1,21,03810,36,
0,450000,34,1,1,2,21,03810,36,
0,450000,4,1,1,2,2,03810,36,
0,450000,2,1,1,2,0,03810,36,
15,17000,28,4,1,1,17,03810,36,
0,17000,64,4,2,1,19,03810,36,
30,310000,42,4,1,1,21,03810,36,
45,310000,35,4,1,2,21,03810,36,
0,195000,84,4,1,1,24,03810,36,
0,195000,80,4,1,2,23,03810,36,
20,676200,65,4,1,1,23,03810,36,
0,676200,42,4,2,1,20,03810,36,
0,380000,31,4,1,1,21,03810,36,
0,380000,28,4,2,2,21,03810,36,
0,85000,52,4,1,1,21,03810,36,
0,131000,29,4,1,2,21,03810,36,
20,131000,31,4,1,1,21,03810,36,
30,383300,28,4,1,1,21,03810,36,
0,383300,27,4,2,1,23,03810,36,
15,197400,27,4,2,1,21,03810,36,
15,197400,29,4,1,1,22,03810,36,
0,87000,26,4,1,1,21,03810,36,
0,221800,29,4,1,1,21,03810,36,
0,221800,28,4,1,1,21,03810,36,
0,221800,28,4,1,1,21,03810,36,
30,500000,39,4,1,2,21,03810,36,
0,500000,41,4,1,1,21,03810,36,
0,500000,40,4,1,2,21,03810,36,
0,500000,3,4,1,1,1,03810,36,
20,46900,25,4,1,2,21,03810,36,
0,200,29,4,2,1,22,03810,36,
0,280000,31,4,1,1,21,03810,36,
0,280000,27,4,1,2,21,03810,36,
7,85100,24,4,1,2,21,03810,36,
20,493000,64,4,1,1,24,03810,36,
30,493000,67,4,1,2,24,03810,36,
35,493000,26,4,1,2,21,03810,36,
30,383000,30,4,2,1,24,03810,36,
0,10600,74,4,2,1,16,03810,36,
0,19900,77,4,1,1,22,03810,36,
0,19900,78,4,1,2,20,03810,36,
0,152500,35,4,1,2,21,03810,36,
20,634000,37,4,2,2,22,03810,36,
0,214000,51,4,2,1,22,03810,36,
0,83000,32,4,1,2,21,03810,36,
0,220000,56,4,2,2,22,03810,36,
0,220000,58,4,2,1,21,03810,36,
0,220000,21,4,1,1,16,03810,36,
0,500000,36,4,1,1,22,03810,36,
0,500000,35,4,1,2,23,03810,36,
30,64500,66,4,2,1,19,03810,36,
30,64500,41,4,1,1,22,03810,36,
0,64500,67,4,1,1,22,03810,36,
0,64500,66,4,1,2,22,03810,36,
10,195000,26,4,1,1,21,03810,36,
30,195000,25,4,1,2,21,03810,36,
0,30000,61,4,1,1,21,03810,36,
0,11000,24,4,2,2,22,03810,36,
15,96000,59,4,1,2,18,03810,36,
0,19200,69,4,1,1,18,03810,36,
30,100000,63,4,2,1,16,03810,36,
0,100000,63,4,2,2,16,03810,36,
0,87800,71,4,1,1,21,03810,36,
0,24000,70,4,1,1,21,03810,36,
0,219300,31,4,1,2,21,03810,36,
0,558800,59,4,1,2,19,03810,36,
0,558800,59,4,1,2,23,03810,36,
0,773000,34,4,1,1,22,03810,36,
0,773000,69,4,2,2,22,03810,36,
0,324000,35,4,1,1,21,03810,36,
30,50000,41,4,1,2,21,03810,36,
0,330000,28,4,1,2,21,03810,36,
30,330000,31,4,1,1,21,03810,36,
30,118600,66,4,1,2,21,03810,36,
0,118600,77,4,1,1,22,03810,36,
0,39700,78,4,1,2,19,03810,36,
0,250200,34,4,1,2,21,03810,36,
30,160550,53,4,1,2,22,03810,36,
20,160550,55,4,1,1,21,03810,36,
30,220000,32,4,1,1,22,03810,36,
0,220000,28,4,1,1,22,03810,36,
30,636000,29,4,1,1,21,03810,36,
0,200000,31,4,1,2,23,03810,36,
0,74400,53,2,2,2,21,03810,36,
0,74400,15,2,1,2,13,03810,36,
0,74400,7,2,1,2,4,03810,36,
0,300000,53,2,1,1,22,03810,36,
20,300000,48,2,1,2,21,03810,36,
0,300000,10,2,1,1,7,03810,36,
0,136000,88,4,1,2,22,03810,36,
0,556000,44,2,2,2,23,03810,36,
0,556000,44,2,2,1,23,03810,36,
0,556000,11,2,1,1,8,03810,36,
0,556000,6,2,1,1,3,03810,36,
0,480,47,4,1,1,21,03810,36,
0,49000,28,4,1,1,16,03810,36,
0,71800,82,4,1,2,21,03810,36,
0,232000,46,4,1,2,24,03810,36,
30,115000,32,4,2,1,22,03810,36,
35,250000,40,4,1,1,21,03810,36,
36,250000,42,4,1,2,21,03810,36,
0,108300,83,4,1,2,22,03810,36,
0,260000,32,1,2,1,22,03810,36,
0,260000,31,1,2,2,22,03810,36,
0,260000,0,1,1,1,0,03810,36,
0,24000,71,4,1,2,19,03810,36,
0,24000,60,4,1,1,22,03810,36,
0,154000,60,4,1,1,22,03810,36,
0,8700,67,4,2,1,20,03810,36,
0,156000,46,4,1,1,21,03810,36,
0,164800,33,4,1,2,23,03810,36,
0,164800,28,4,2,1,13,03810,36,
0,20,62,4,1,1,16,03810,36,
0,374000,61,4,1,1,21,03810,36,
45,374000,55,4,1,1,18,03810,36,
30,123000,31,4,1,1,22,03810,36,
15,100000,23,4,1,1,21,03810,36,
0,100000,23,4,1,2,23,03810,36,
0,35000,34,4,2,2,21,03810,36,
0,155500,63,4,1,2,21,03810,36,
0,637900,39,4,2,2,22,03810,36,
25,210000,27,4,1,2,21,03810,36,
0,0,22,4,1,2,19,03810,36,
0,169000,81,4,1,1,23,03810,36,
15,169000,67,4,2,2,21,03810,36,
20,1271000,28,4,1,2,21,03810,36,
20,1271000,31,4,1,1,21,03810,36,
8,351000,48,2,1,1,22,03810,36,
0,351000,47,2,1,2,22,03810,36,
0,351000,17,2,1,2,14,03810,36,
0,351000,15,2,1,2,12,03810,36,
0,351000,10,2,1,1,7,03810,36,
0,43000,48,4,1,2,22,03810,36,
0,634000,34,4,2,1,21,03810,36,
0,52000,55,4,1,1,21,03810,36,
35,156000,51,4,1,1,21,03810,36,
0,156000,53,4,1,1,22,03810,36,
0,186000,64,4,1,1,22,03810,36,
0,186000,64,4,1,2,22,03810,36,
0,186000,25,4,1,1,21,03810,36,
0,186000,23,4,1,1,21,03810,36,
0,186000,95,4,1,2,16,03810,36,
0,287000,28,4,2,1,21,03810,36,
0,287000,30,4,2,1,18,03810,36,
20,195000,31,4,1,1,21,03810,36,
20,195000,29,4,1,2,21,03810,36,
30,313500,31,4,1,2,22,03810,36,
30,313500,32,4,1,2,22,03810,36,
0,313500,31,4,1,2,20,03810,36,
0,313500,31,4,1,2,23,03810,36,
30,74200,60,4,2,1,19,03810,36,
10,74200,57,4,2,2,21,03810,36,
0,328900,73,4,2,2,22,03810,36,
0,328900,76,4,1,1,21,03810,36,
0,100000,65,4,1,2,22,03810,36,
0,125000,35,4,2,1,24,03810,36,
40,589000,68,4,1,2,24,03810,36,
0,784000,40,3,2,2,21,03810,36,
0,784000,44,3,2,1,21,03810,36,
0,784000,11,3,1,1,8,03810,36,
0,784000,8,3,1,1,5,03810,36,
0,784000,1,3,1,2,0,03810,36,
32,440700,24,4,1,1,21,03810,36,
32,440700,24,4,1,1,21,03810,36,
15,440700,24,4,1,1,21,03810,36,
0,440700,24,4,1,1,21,03810,36,
30,80000,35,4,2,2,21,03810,36,
30,200000,30,4,1,2,21,03810,36,
30,200000,31,4,1,1,21,03810,36,
0,2700,53,4,1,2,23,03810,36,
20,153200,23,4,1,2,19,03810,36,
45,153200,62,4,1,2,21,03810,36,
40,153200,57,4,1,2,21,03810,36,
30,153200,25,4,1,2,16,03810,36,
0,335000,29,4,1,1,22,03810,36,
0,335000,30,4,1,2,21,03810,36,
0,335000,27,4,1,2,21,03810,36,
45,173800,25,4,1,2,22,03810,36,
60,173800,29,4,1,1,21,03810,36,
35,173800,25,4,1,2,21,03810,36,
0,146000,25,4,1,2,21,03810,36,
0,3480,86,4,1,2,21,03810,36,
20,100000,38,4,1,1,22,03810,36,
30,100000,36,4,1,2,17,03810,36,
0,70000,27,4,1,1,21,03810,36,
30,50000,63,4,1,2,21,03810,36,
25,500000,35,4,1,1,21,03810,36,
55,500000,34,4,1,2,23,03810,36,
30,500750,30,4,1,1,21,03810,36,
15,500750,30,4,1,2,21,03810,36,
0,769000,43,4,2,2,21,03810,36,
20,769000,49,4,1,1,24,03810,36,
10,170000,64,4,2,2,24,03810,36,
